date,time,index,title,reply,views
01-11,14:00,136503,어느 디시인의 파닭 논란,2000,379
01-11,14:00,136502,타 커뮤에서 1000플 넘어간 반말 논란...jpg,38000,431
01-11,14:00,136501,현역 시절 강호동이 찍 소리도 못했다는 씨름꾼.jpgif,15000,288
01-11,14:00,136500,지금 더 인기 많을 얼굴이라고 언급되는 남자 연예인 3명.jpg,45000,703
01-11,14:00,136499,불쾌함 주의) 강아지의 부성애,44000,613
01-11,14:00,136498,폐 건강 테스트,37000,1446
01-11,14:00,136497,현재 더쿠에서 불타고 있는 주제,44000,383
01-11,14:00,136496,"[단독]박지훈, 웹툰원작 '멀리서 보면 푸른 봄' 주연 확정…대학판 미생 그려낸다",33000,626
01-11,14:00,136495,어제 트위터에서 난리났던 아이돌 포토카드 양도로 사기/협박한 계정,41000,638
01-11,14:00,136533,"이수민, 불법 다운로드 의혹…뒤늦게 게시물 삭제 + 인스타 사과문",34000,511
01-11,14:00,136532,토익학원이 알려주지 않는 RC의 비밀,13000,648
01-11,14:00,136531,한국의 모든 학교에 단군상이 사라진 이유,2000,340
01-11,14:00,136530,극호 90%에 도전하는 케이크와 조합,15000,363
01-11,14:00,136529,요즘 중국이 한국에대해 갖고있는 인식,15000,351
01-11,14:00,136528,첫째들이 생활애교가 없다는 것은 편견이지만.twt,16000,335
01-11,14:00,136527,같은 소속사 남돌+여돌 컨텐츠 제목 수준.....,34000,487
01-11,14:00,136526,동선이동 하나도 그냥 하는 법이 없는 방탄 지민,3278,98
01-11,14:00,136473,아이즈원 김민주 소속사 얼반웍스 고소 결과.jpg (닉네임박제),39000,440
01-11,14:00,136472,죽을 뻔한 댕댕이를 살린 사람의 순간 판단력...jpg,31000,371
01-11,14:00,136471,"'인기가요 1위' 경서 ""믿어지지 않는 큰 사랑..열심히 할게요!""",38000,549
01-11,14:00,136470,죽기 전에 마지막 김치찌개 고르기.jpg,13000,401
01-11,14:00,136469,한파에 세탁기 절대절대절대절대 돌리면 안되는 이유.jpg,48000,464
01-11,14:00,136468,사만다 없는 '섹스앤더시티' 돌아온다..사라 제시카 파커 발표,33000,530
01-11,14:00,136467,90년대 후반생들부터 잘모르는 충격적인 문화,47000,703
01-11,14:00,136466,이견 없을 3세대 아이돌의 문을 연 곡.jpg,38000,641
01-11,14:00,136465,"건조기, 스타일러, 식세기, 로봇청소기 사고 싶을 때 읽어볼만한 글",41000,1226
01-11,14:00,136464,"아이유, 1월 27일 선공개곡 발매 [공식]",5379,128
01-11,14:00,136463,올해 골든디스크 시상식에서 드디어 만난 배우 김남길과 방탄소년단 진,1000,143
01-11,14:00,136462,진짜 제발 돌아와주시면 안될까요...?.jpg,41000,462
01-11,14:00,136461,OCN 최초 시청률 10퍼 드라마..,5000,444
01-11,14:00,136460,실패한 사람은 안 된다고 하지. 근데 성공한 사람은 하라고 해.,52000,1246
01-11,14:00,136459,안경 벗고 잘생겨지는 방탄소년단 뷔,23000,463
01-11,14:00,136443,누르기만 하면 체온 오르는 1분 지압법,7677,147
01-11,14:00,136442,강아지 안 키우는 사람은 화났다고 생각하는짤,41000,334
01-11,14:00,136441,디자인 호불호 갈린다는 교복,26000,274
01-11,14:00,136440,이건 진짜 불호가 70%이상이라고 자부함,5000,1356
01-11,14:00,136439,편의점 컵커피광공이 추천하는 커피모음,33000,468
01-11,14:00,136438,유퀴즈 인스타에 올라온 출연진 관련 사과문.jpg,44000,258
01-11,14:00,136437,얼굴합 좋기로 유명한 방탄 뷔 정국 투샷... (추가),17000,512
01-11,14:00,136436,유퀴즈온더블럭 인스타그램..jpg,47000,380
01-11,14:00,136435,어느 아이돌 애니가 한순간에 대폭망한 이유.jpg,58000,597
01-11,14:00,136434,방금 업데이트된 방탄소년단 뷔 셀카 한장..얼굴 믿고 어디까지 소화하나 실험 중인 팬들,7526,154
01-11,14:00,136433,폭력적이었던 형에게 울분을 토하는 최홍림.jpg,31000,532
01-11,14:00,136432,오늘 존잼이라는 반응 많은 드라마,47000,211
01-11,14:00,136431,트와이스 따라하는 NCT 마크,7125,91
01-11,14:00,136430,웹소 읽는 사람들 사이에서 논란중인 임첫게 작가 행적.dc,17000,245
01-11,14:00,136429,의외로 배에 복근 있는 아이유.gif,32000,207
01-11,14:00,136428,방탄소년단 뷔 위버스 업로드 ( 골든디스크 노란 수트) 🤡,16000,287
01-11,14:00,136427,‘나은이’ 하면 떠오르는 인물은?,1000,395
01-11,14:00,136426,배우 김유정 논란....jpg,8000,803
01-11,14:00,136425,3세대 여자아이돌중에 '핫걸'이란 수식어가 제일 잘 어울리는 여돌,37000,481
01-11,14:00,136424,해리포터에서 호불호 갈리는 삼대장.jpg,31000,738
01-11,14:00,136494,어제자 런닝맨에서 유재석이 송지효한테 한 말.jpg,9691,109
01-11,14:00,136493,국토 70%가 산으로 이루어져 있다는 걸 체감한건.jpg,48000,1176
01-11,14:00,136492,카페에서 배민으로 얼음컵만 15개 주문했는데 전화옴.txt,58000,784
01-11,14:00,136491,사실 베라에서 민트 계열은 민트초코만 있는게 아님,3000,556
01-11,14:00,136490,친구 결혼때 냉장고 선물했다 난감한 케이스,54000,550
